P7854_101_S16,34696,9894,15845,23912,42534,41032
P7854_101_S16,159648,168161,174767,180602,248280,170813
P7854_102_S17,31108,10383,16314,23012,39955,39520
P7854_102_S17,147150,152731,157622,160183,212208,149469
P7854_103_S18,32172,6081,10790,17467,30767,33204
P7854_103_S18,134774,141718,146914,151118,196721,142436
P7854_104_S19,34498,9396,12330,14753,28752,48841
P7854_104_S19,163210,170257,173948,176617,223853,166327
P7854_105_S20,13047,800,2901,6817,17337,17740
P7854_105_S20,75550,79753,83715,87679,107651,85412
P7854_106_S21,5555,543,1462,3155,9090,5996
P7854_106_S21,30443,31198,31581,32074,36788,30267
P7854_107_S22,656,14,26,18,32,26
P7854_107_S22,262,273,238,280,531,238
P7854_108_S23,30842,12710,19248,22145,27566,29883
P7854_108_S23,86146,90132,93590,98034,205427,95528
P7854_109_S24,21931,7224,17993,16052,16231,16639
P7854_109_S24,49735,50592,52843,58073,204240,57720
P7854_110_S25,33524,13773,24201,22844,34930,21388
P7854_110_S25,37316,38912,42576,51901,256387,58120
P7854_111_S26,25457,7887,15019,18270,25328,17216
P7854_111_S26,28758,30596,34951,44648,261010,49567
P7854_112_S27,28672,7780,14304,21433,25847,22258
P7854_112_S27,31580,33792,38413,49260,296316,55534
P7854_113_S28,49132,3076,4317,8231,13952,21583
P7854_113_S28,16602,17970,20373,24488,117073,30014
P7854_114_S29,28609,4022,5781,11064,14663,23658
P7854_114_S29,18279,19944,22635,28135,147082,33299
P7854_115_S30,15841,2282,2860,5667,7822,11489
P7854_115_S30,10827,11938,13345,16744,90995,19528
P7854_116_S31,10173,847,2496,5966,11477,21354
P7854_116_S31,17554,19343,21025,24181,75041,24261
P7854_117_S32,4620033,34347,16687,30537,24025,30128
P7854_117_S32,38832,40226,42223,46271,141310,43193
P7854_118_S33,1480636,27245,17345,26274,29620,21353
P7854_118_S33,10245,10744,11237,11787,22161,10429
P7854_119_S34,305910,3163,12353,1431,1418,4513
P7854_119_S34,5971,6567,7305,9160,38753,9785
P7854_120_S35,187,4,2,3,3,2
P7854_120_S35,78,60,62,73,83,51
P7854_121_S36,65182,2441,2578,6607,8281,9801
P7854_121_S36,12765,13298,14388,17792,87183,18958
P7854_122_S37,22468,8672,18571,12052,22417,14875
P7854_122_S37,35996,38359,43080,51930,192904,48121
P7854_123_S38,29224,6005,14778,15856,27124,17981
P7854_123_S38,44718,48452,54702,67346,247440,62570
P7854_124_S39,84341,14371,38515,7804,11855,12381
P7854_124_S39,45915,49387,54898,64829,226287,61426
