P7854_101_S16.fa.remake_filtered.fa;121613;123886;178288;112390;119333;344488
P7854_102_S17.fa.remake_filtered.fa;130771;131081;180909;117452;121735;318048
P7854_103_S18.fa.remake_filtered.fa;130584;133025;181382;121145;125234;308626
S1;127656;129330,6667;180193;116995,6667;122100,6667;323720,6667
P7854_104_S19.fa.remake_filtered.fa;131220;131631;173487;120294;122142;321223
P7854_105_S20.fa.remake_filtered.fa;125580;132132;170061;127359;133010;311853
P7854_106_S21.fa.remake_filtered.fa;140524;142841;174958;136128;139871;265675
S2;132441,3333;135534,6667;172835,3333;127927;131674,3333;299583,6667
P7854_107_S22.fa.remake_filtered.fa;42879;58192;370597;82695;45941;399693
P7854_108_S23.fa.remake_filtered.fa;52406;54347;131330;50158;66356;645401
P7854_109_S24.fa.remake_filtered.fa;28776;30995;129460;28559;48602;733605
S3;41353,66667;47844,66667;210462,3333;53804;53633;592899,6667
P7854_110_S25.fa.remake_filtered.fa;14923;17782;106891;17816;39113;803472
P7854_111_S26.fa.remake_filtered.fa;13786;17482;122639;16844;38106;791139
P7854_112_S27.fa.remake_filtered.fa;12731;16211;116153;16203;36931;801768
S4;13813,33333;17158,33333;115227,6667;16954,33333;38050;798793
P7854_113_S28.fa.remake_filtered.fa;11758;14812;110008;17492;34925;811002
P7854_114_S29.fa.remake_filtered.fa;14244;18121;133991;19870;37200;776571
P7854_115_S30.fa.remake_filtered.fa;14065;18875;152381;20739;35303;758633
S5;13355,66667;17269,33333;132126,6667;19367;35809,33333;782068,6667
P7854_116_S31.fa.remake_filtered.fa;74648;83921;392710;79400;79653;289665
P7854_117_S32.fa.remake_filtered.fa;80229;87747;365700;74410;72353;319558
P7854_118_S33.fa.remake_filtered.fa;131734;134744;341099;104423;98890;189107
S6;95537;102137,3333;366503;86077,66667;83632;266110
P7854_119_S34.fa.remake_filtered.fa;45730;64501;467863;58753;55355;307795
P7854_121_S36.fa.remake_filtered.fa;44281;63312;540733;60801;56642;234229
S7;45005,5;63906,5;504298;59777;55998,5;271012
P7854_122_S37.fa.remake_filtered.fa;97947;117685;524500;90932;74878;94054
P7854_123_S38.fa.remake_filtered.fa;98567;119993;509506;94916;78655;98360
P7854_124_S39.fa.remake_filtered.fa;104036;120725;492999;98892;82403;100942
S8;100183,3333;119467,6667;509001,6667;94913,33333;78645,33333;97785,33333
